  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
    -233547.6116        635.1391       1364.5945          0.0000          0.0000
          0.0000       1118.5181      -6486.7417          0.0000          0.0000
          0.0000          0.0000
              34          0.0340    -230026.3003       1776.1953    -231802.4956
    -233578.6909        648.2997       1353.9766          0.0000          0.0000
          0.0000       1129.0220      -6481.8390          0.0000          0.0000
          0.0000          0.0000
              35          0.0350    -229986.2699       1785.5195    -231771.7894
    -233557.3089        651.7585       1350.2541          0.0000          0.0000
          0.0000       1164.4164      -6483.0644          0.0000          0.0000
          0.0000          0.0000
              36          0.0360    -229933.9926       1774.7108    -231708.7034
    -233483.4142        647.7343       1358.2024          0.0000          0.0000
          0.0000       1231.3430      -6495.1190          0.0000          0.0000
          0.0000          0.0000
              37          0.0370    -229890.4816       1803.9820    -231694.4636
    -233498.4456        658.4475       1374.0296          0.0000          0.0000
          0.0000       1247.7520      -6513.3381          0.0000          0.0000
          0.0000          0.0000
              38          0.0380    -229879.7511       1930.9854    -231810.7366
    -233741.7220        704.8457       1386.5428          0.0000          0.0000
          0.0000       1132.5281      -6527.0843          0.0000          0.0000
          0.0000          0.0000
              39          0.0390    -229837.2956       2006.4395    -231843.7351
    -233850.1746        732.3689       1384.0360          0.0000          0.0000
          0.0000       1099.2266      -6524.4985          0.0000          0.0000
          0.0000          0.0000
              40          0.0400    -229803.5972       2001.3031    -231804.9003
    -233806.2033        730.5419       1368.7642          0.0000          0.0000
          0.0000       1136.7676      -6508.1951          0.0000          0.0000
          0.0000          0.0000
              41          0.0410    -229725.9024       1927.5305    -231653.4329
    -233580.9634        703.4785       1352.4162          0.0000          0.0000
          0.0000       1286.7588      -6490.6114          0.0000          0.0000
          0.0000          0.0000
              42          0.0420    -229731.8640       2030.4105    -231762.2745
    -233792.6851        741.0437       1346.9420          0.0000          0.0000
          0.0000       1176.6986      -6483.9462          0.0000          0.0000
          0.0000          0.0000
              43          0.0430    -229699.9380       2089.0431    -231788.9812
    -233878.0243        762.5375       1356.2092          0.0000          0.0000
          0.0000       1148.7674      -6492.0073          0.0000          0.0000
          0.0000          0.0000
              44          0.0440    -229684.2058       2069.7179    -231753.9238
    -233823.6417        755.3206       1369.8747          0.0000          0.0000
          0.0000       1183.5601      -6505.4600          0.0000          0.0000
          0.0000          0.0000
              45          0.0450    -229668.1161       2026.3526    -231694.4687
    -233720.8213        739.5969       1377.6847          0.0000          0.0000
          0.0000       1240.5631      -6510.9113          0.0000          0.0000
          0.0000          0.0000
              46          0.0460    -229640.0043       1975.0914    -231615.0958
    -233590.1872        720.8477       1370.9255          0.0000          0.0000
          0.0000       1317.0916      -6501.4224          0.0000          0.0000
          0.0000          0.0000
              47          0.0470    -229607.2118       1917.5939    -231524.8056
    -233442.3995        699.6816       1355.8433          0.0000          0.0000
          0.0000       1405.1603      -6484.2213          0.0000          0.0000
          0.0000          0.0000
              48          0.0480    -229584.0230       1888.5858    -231472.6087
    -233361.1945        689.1421       1343.0997          0.0000          0.0000
          0.0000       1454.5209      -6468.7052          0.0000          0.0000
          0.0000          0.0000
              49          0.0490    -229578.7124       1891.2708    -231469.9832
    -233361.2541        690.1404       1342.3249          0.0000          0.0000
          0.0000       1453.6236      -6464.4125          0.0000          0.0000
          0.0000          0.0000
              50          0.0500    -229568.8333       1912.4504    -231481.2838
    -233393.7342        697.8043       1352.9319          0.0000          0.0000
          0.0000       1438.4541      -6471.1308          0.0000          0.0000
          0.0000          0.0000
              51          0.0510    -229565.9973       1940.7224    -231506.7197
    -233447.4420        708.1373       1365.4619          0.0000          0.0000
          0.0000       1409.1284      -6479.7413          0.0000          0.0000
          0.0000          0.0000
              52          0.0520    -229555.0367       1963.7111    -231518.7478
    -233482.4588        716.5445       1369.3427          0.0000          0.0000
